Global_Frame_ID,Object_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2
26,4,275,312,1798,188.746848
26,5,574,106,1706,179.089056
26,6,456,142,1295,135.94392
26,7,731,56,965,101.30184
26,8,614,468,1413,148.331088
26,9,610,21,1082,113.584032
26,10,794,227,1194,125.341344
26,11,147,270,1255,131.74488
26,12,315,202,1355,142.24248
26,13,186,348,1276,133.949376
26,14,217,415,1077,113.059152
26,15,645,229,1142,119.882592
26,16,376,487,1062,111.484512
27,1,336,152,1092,114.633792
27,2,349,57,1257,131.954832
27,4,265,322,1752,183.917952
27,5,570,107,1696,178.039296
27,6,455,151,1259,132.164784
27,7,725,60,937,98.362512
27,8,612,470,1422,149.275872
27,9,611,19,1045,109.69992
27,10,804,237,1135,119.14776
27,11,144,267,1236,129.750336
27,12,308,197,1304,136.888704
27,13,183,342,1260,132.26976
27,14,221,407,1101,115.578576
27,15,644,220,1064,111.694464
27,16,372,492,1033,108.440208
28,1,326,158,1072,112.534272
28,2,362,54,1248,131.010048
28,4,256,333,1592,167.121792
28,5,567,110,1677,176.044752
28,6,456,160,1282,134.579232
28,7,722,63,938,98.467488
28,8,608,472,1407,147.701232
28,9,614,16,940,98.67744
28,10,814,245,1148,120.512448
28,11,140,260,1209,126.915984
28,12,298,193,1310,137.51856
28,13,182,335,1289,135.314064
28,14,228,398,1032,108.335232
28,15,642,205,1048,110.014848
28,16,369,497,1048,110.014848
29,1,315,164,998,104.766048
29,2,375,49,1218,127.860768
29,4,247,343,1599,167.856624
29,5,563,112,1686,176.989536
29,6,456,168,1235,129.64536
29,7,718,66,931,97.732656
29,8,602,476,1408,147.806208
29,9,619,10,549,57.631824
29,10,823,253,1113,116.838288
29,11,136,253,1153,121.037328
29,12,291,189,1302,136.678752
29,13,182,327,1316,138.148416
29,14,236,391,1053,110.539728
29,15,639,193,1145,120.19752
29,16,368,502,1035,108.65016
30,1,307,169,655,68.75928
30,2,388,45,1206,126.601056
30,4,239,352,1480,155.36448
30,5,561,116,1709,179.403984
30,6,457,177,1220,128.07072
30,7,714,70,923,96.892848
30,8,597,483,1395,146.44152
30,9,621,5,239,25.089264
30,10,832,260,1068,112.114368
30,11,135,249,1225,128.5956
30,12,283,183,1224,128.490624
30,13,183,319,1307,137.203632
30,14,247,385,1006,105.605856
30,15,634,183,1189,124.816464
30,16,367,505,856,89.859456
31,1,303,174,306,32.122656
31,2,400,40,1033,108.440208
31,4,230,362,1507,158.198832
31,5,558,119,1691,177.514416
31,6,459,186,1199,125.866224
31,7,709,73,931,97.732656
31,8,593,490,1411,148.121136
31,9,625,0,20,2.09952
31,10,842,267,1045,109.69992
31,11,134,244,1190,124.92144
31,12,280,180,1288,135.209088
31,13,187,311,1252,131.429952
31,14,256,380,1040,109.17504
31,15,630,171,1153,121.037328
31,16,367,509,888,93.218688
32,1,277,194,437,45.874512
32,2,413,36,974,102.246624
32,4,221,372,1415,148.54104
32,5,557,122,1733,181.923408
32,6,461,193,1202,126.181152
32,7,704,75,946,99.307296
32,8,586,497,1412,148.226112
32,10,850,274,1035,108.65016
32,11,133,238,1207,126.706032
32,12,277,171,1270,133.31952
32,13,193,303,1271,133.424496
32,14,265,374,1011,106.130736
32,15,625,160,1147,120.407472
32,16,372,502,942,98.887392
33,1,269,199,711,74.637936
33,2,425,32,973,102.141648
33,4,212,383,1387,145.601712
33,5,556,126,1740,182.65824
33,6,464,202,1242,130.380192
33,7,700,78,948,99.517248
33,8,579,506,1364,143.187264
33,10,861,281,954,100.147104
33,11,132,231,1266,132.899616
33,12,274,164,1299,136.363824
33,13,200,295,1285,134.89416
33,14,272,367,1050,110.2248
33,15,619,147,1133,118.937808
33,16,375,491,1073,112.639248
34,1,264,202,822,86.290272
34,2,437,29,1033,108.440208
34,4,205,392,1326,139.198176
34,5,555,130,1751,183.812976
34,6,468,211,1262,132.479712
34,7,695,80,957,100.462032
34,8,573,514,1317,138.253392
34,10,871,288,940,98.67744
34,11,133,224,1211,127.125936
34,12,273,158,1342,140.877792
34,13,209,290,1299,136.363824
34,14,280,360,1088,114.213888
34,15,615,138,1159,121.667184
34,16,380,480,1209,126.915984
35,1,261,205,879,92.273904
35,2,450,26,1209,126.915984
35,4,196,401,1370,143.81712
35,5,554,134,1730,181.60848
35,6,472,219,1257,131.954832
35,7,691,83,983,103.191408
35,8,565,522,1365,143.29224
35,10,880,294,900,94.4784
35,11,136,215,1185,124.39656
35,12,273,151,1410,148.01616
35,13,221,286,1270,133.31952
35,14,288,351,1068,112.114368
35,15,610,124,1198,125.761248
35,16,386,466,1192,125.131392
36,1,259,209,1032,108.335232
36,2,462,24,1339,140.562864
36,4,187,409,1561,163.867536
36,5,554,139,1737,182.343312
36,6,478,228,1230,129.12048
36,7,687,85,939,98.572464
36,8,558,530,1397,146.651472
36,10,891,301,878,92.168928
36,11,139,208,1172,123.03187199999999
36,12,275,137,1402,147.176352
36,13,234,283,1284,134.789184
36,14,296,344,1072,112.534272
36,15,607,116,1147,120.407472
36,16,392,455,1101,115.578576
37,1,260,216,1048,110.014848
37,2,476,18,1414,148.436064
37,4,178,418,1677,176.044752
37,5,554,144,1742,182.868192
37,6,483,235,1296,136.048896
37,7,682,87,952,99.937152
37,8,553,537,1396,146.546496
37,10,899,307,862,90.489312
37,11,141,200,1186,124.501536
37,12,277,129,1392,146.126592
37,13,248,278,1275,133.8444
37,14,300,334,1091,114.528816
37,15,600,105,1136,119.252736
37,16,398,445,1063,111.589488
38,1,266,228,1102,115.683552
38,2,489,13,1181,123.976656
38,4,171,428,1677,176.044752
38,5,556,148,1693,177.724368
